,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
186,"BLOW (with Chris Stapleton & Bruno Mars)","Ed Sheeran",179233,https://open.spotify.com/track/7hvO2qCwJVZxiyoA7c9i5d
187,Ex,Callalily,179168,https://open.spotify.com/track/7bkAr4WNoTuSjpuh1NRQjm
188,"Big Plans","Why Don't We",179109,https://open.spotify.com/track/6Yx181fZzA0YE2EkUsYruq
189,"When You Say Nothing At All","Ronan Keating",176445,https://open.spotify.com/track/0gcjc7Vt5xtcfmJgf6g2IO
190,"BOOMBAYAH - KR Ver.",BLACKPINK,175678,https://open.spotify.com/track/1qAPA8TooLVEqAZ58fhcrt
191,"Ipagpatawad Mo",Mayonnaise,175009,https://open.spotify.com/track/7aOgo3FixklrEF0FWCgPLX
192,Kontrabida,Pricetagg,173413,https://open.spotify.com/track/31vGGETvC1zlvuhNumTYZB
193,"There's No Way (feat. Julia Michaels)",Lauv,173102,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ
194,"I Love You 3000","Stephanie Poetri",172434,https://open.spotify.com/track/5DuSzOxHDi1qZycpzIWyhO
195,"break up with your girlfriend, i'm bored","Ariana Grande",169946,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
196,"What is Love?",TWICE,169908,https://open.spotify.com/track/5Ek40FyMPprcvtyZDjqylX
197,"Maybe This Time - From ""Maybe This Time""","Sarah Geronimo",169535,https://open.spotify.com/track/0Dljpp52vCmtXi0E94qjfo
198,"Old Town Road","Lil Nas X",169282,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
199,13,LANY,168488,https://open.spotify.com/track/0WOvSEVpUGkNufX0w0M06F
200,Sandali,Because,168419,https://open.spotify.com/track/0WRSaei4JRI1KTYhMqQh9y
